Team,Season,Total_Payroll,Win_%,division_winner,playoff_appearance,world_series,world_series_winner,WAR,P_WAR,PP_WAR
Detroit Tigers,2018,"$129,920,000.00 ",0.395,FALSE,FALSE,FALSE,FALSE,14.04,10.05,3.99
Detroit Tigers,2019,"$132,000,000.00 ",0.292,FALSE,FALSE,FALSE,FALSE,10.29,10.3,-0.01
Detroit Tigers,2021,"$80,398,600.00 ",0.475,FALSE,FALSE,FALSE,FALSE,20.74,9.28,11.45
Detroit Tigers,2022,"$116,040,000.00 ",0.407,FALSE,FALSE,FALSE,FALSE,12.01,8.5,3.51
Detroit Tigers,2023,"$105,338,500.00 ",0.481,FALSE,FALSE,FALSE,FALSE,25.85,15.18,10.67
Detroit Tigers,2024,"$95,073,933.00 ",0.531,FALSE,TRUE,FALSE,FALSE,36.1,17.95,18.15
Detroit Tigers,2025,"$131,000,000.00 ",0.537,FALSE,TRUE,FALSE,FALSE,15.18,15.18,0
Houston Astros,2015,"$70,910,100.00 ",0.531,FALSE,TRUE,FALSE,FALSE,44.92,18.86,26.07
Houston Astros,2016,"$69,064,200.00 ",0.531,FALSE,FALSE,FALSE,FALSE,42.79,17.61,25.18
Houston Astros,2017,"$124,343,900.00 ",0.623,TRUE,TRUE,TRUE,TRUE,55.73,19.01,36.72
Houston Astros,2018,"$160,040,000.00 ",0.636,TRUE,TRUE,FALSE,FALSE,61.44,28.63,32.81
Houston Astros,2019,"$174,000,000.00 ",0.66,TRUE,TRUE,TRUE,FALSE,67.44,24.2,43.24
Houston Astros,2021,"$171,018,000.00 ",0.586,TRUE,TRUE,TRUE,FALSE,50.38,16.27,34.11
Houston Astros,2022,"$163,939,599.00 ",0.654,TRUE,TRUE,TRUE,TRUE,57.26,26.71,30.55
Houston Astros,2023,"$180,888,333.00 ",0.556,TRUE,TRUE,FALSE,FALSE,42.6,15.85,26.75
Houston Astros,2024,"$237,303,141.00 ",0.547,TRUE,TRUE,FALSE,FALSE,40.29,14.79,25.5
Houston Astros,2025,"$204,000,000.00 ",0.537,FALSE,FALSE,FALSE,FALSE,38.81,17.97,20.84
Kansas City Royals,2015,"$113,618,650.00 ",0.579,TRUE,TRUE,TRUE,TRUE,35.62,13.83,21.8
Kansas City Royals,2016,"$112,914,525.00 ",0.5,FALSE,FALSE,FALSE,FALSE,25.51,12.06,13.45
Kansas City Royals,2017,"$140,925,250.00 ",0.494,FALSE,FALSE,FALSE,FALSE,26.2,13.68,12.52
Kansas City Royals,2018,"$129,920,000.00 ",0.359,FALSE,FALSE,FALSE,FALSE,24.9,16.71,8.19
Kansas City Royals,2019,"$115,000,000.00 ",0.364,FALSE,FALSE,FALSE,FALSE,15.5,7.63,7.87
Kansas City Royals,2021,"$87,779,400.00 ",0.457,FALSE,FALSE,FALSE,FALSE,24.89,13.21,11.68
Kansas City Royals,2022,"$74,110,000.00 ",0.407,FALSE,FALSE,FALSE,FALSE,17.48,8.41,9.07
Kansas City Royals,2023,"$75,825,000.00 ",0.346,FALSE,FALSE,FALSE,FALSE,7.77,7.77,0
Kansas City Royals,2024,"$105,219,570.00 ",0.531,FALSE,TRUE,FALSE,FALSE,41.04,20.01,21.03
Kansas City Royals,2025,"$113,000,000.00 ",0.506,FALSE,FALSE,FALSE,FALSE,32.45,17.49,14.95
Los Angeles Angels,2015,"$150,933,083.00 ",0.512,FALSE,FALSE,FALSE,FALSE,28.26,11.16,17.09
Los Angeles Angels,2016,"$146,449,583.00 ",0.457,FALSE,FALSE,FALSE,FALSE,22.99,5.54,17.41
Los Angeles Angels,2017,"$160,375,333.00 ",0.494,FALSE,FALSE,FALSE,FALSE,28.7,12.02,16.67
Los Angeles Angels,2018,"$175,100,000.00 ",0.494,FALSE,FALSE,FALSE,FALSE,32.49,12.17,20.32
Los Angeles Angels,2019,"$175,000,000.00 ",0.444,FALSE,FALSE,FALSE,FALSE,23.91,7.53,16.38
Los Angeles Angels,2021,"$177,353,000.00 ",0.475,FALSE,FALSE,FALSE,FALSE,27.02,14.49,12.52
Los Angeles Angels,2022,"$169,413,094.00 ",0.451,FALSE,FALSE,FALSE,FALSE,27.39,16.44,10.94
Los Angeles Angels,2023,"$204,088,094.00 ",0.438,FALSE,FALSE,FALSE,FALSE,28.13,11.01,16.35
Los Angeles Angels,2024,"$158,818,094.00 ",0.389,FALSE,FALSE,FALSE,FALSE,14.58,5.95,8.63
Los Angeles Angels,2025,"$192,000,000.00 ",0.444,FALSE,FALSE,FALSE,FALSE,16.94,9.95,6.94
Los Angeles Dodgers,2015,"$272,789,040.00 ",0.568,TRUE,TRUE,FALSE,FALSE,48.75,19.71,29.04
Los Angeles Dodgers,2016,"$223,352,402.00 ",0.562,TRUE,TRUE,FALSE,FALSE,42.72,19.98,22.74
Los Angeles Dodgers,2017,"$242,065,828.00 ",0.642,TRUE,TRUE,TRUE,FALSE,51.49,21.72,29.77
Los Angeles Dodgers,2018,"$186,140,000.00 ",0.564,TRUE,TRUE,TRUE,FALSE,53.99,18.97,35.01
Los Angeles Dodgers,2019,"$222,183,213.00 ",0.654,TRUE,TRUE,FALSE,FALSE,60.1,25.38,34.72
Los Angeles Dodgers,2021,"$235,412,876.00 ",0.654,FALSE,TRUE,FALSE,FALSE,56.79,27.55,29.24
Los Angeles Dodgers,2022,"$277,108,333.00 ",0.685,TRUE,TRUE,TRUE,FALSE,62.44,25.14,37.3
Los Angeles Dodgers,2023,"$218,332,634.00 ",0.617,TRUE,TRUE,FALSE,FALSE,49.05,17.94,31.12
Los Angeles Dodgers,2024,"$220,691,666.00 ",0.642,TRUE,TRUE,TRUE,TRUE,48.24,15.6,32.64
Los Angeles Dodgers,2025,"$321,000,000.00 ",0.574,TRUE,TRUE,TRUE,TRUE,49.8,20.81,28.99
Miami Marlins,2015,"$68,479,000.00 ",0.475,FALSE,FALSE,FALSE,FALSE,28.1,15.99,12.11
Miami Marlins,2016,"$84,637,500.00 ",0.491,FALSE,FALSE,FALSE,FALSE,25.68,10.72,14.96
Miami Marlins,2017,"$111,881,100.00 ",0.475,FALSE,FALSE,FALSE,FALSE,37.12,8.88,28.23
Miami Marlins,2018,"$98,640,000.00 ",0.391,FALSE,FALSE,FALSE,FALSE,27.82,11.4,16.42
Miami Marlins,2019,"$100,000,000.00 ",0.352,FALSE,FALSE,FALSE,FALSE,55.59,23.66,31.93
Miami Marlins,2021,"$49,425,000.00 ",0.414,FALSE,FALSE,FALSE,FALSE,28.85,6.84,22.01
Miami Marlins,2022,"$69,000,000.00 ",0.426,FALSE,FALSE,FALSE,FALSE,32.1,11.46,20.64
Miami Marlins,2023,"$81,075,000.00 ",0.522,FALSE,TRUE,FALSE,FALSE,43.67,20.64,23.03
Miami Marlins,2024,"$83,710,000.00 ",0.383,FALSE,FALSE,FALSE,FALSE,40.8,18.65,22.15
Miami Marlins,2025,"$47,000,000.00 ",0.488,FALSE,FALSE,FALSE,FALSE,35,15.73,19.26
Milwaukee Brewers,2015,"$105,002,536.00 ",0.42,FALSE,FALSE,FALSE,FALSE,22.52,9.9,12.62
Milwaukee Brewers,2016,"$98,683,035.00 ",0.475,FALSE,FALSE,FALSE,FALSE,27.95,11.11,15.98
Milwaukee Brewers,2017,"$63,061,300.00 ",0.531,FALSE,FALSE,FALSE,FALSE,39.4,17.05,22.35
Milwaukee Brewers,2018,"$90,240,000.00 ",0.586,FALSE,TRUE,FALSE,FALSE,42.58,14.49,28.09
Milwaukee Brewers,2019,"$143,000,000.00 ",0.549,FALSE,TRUE,FALSE,FALSE,35.55,12.5,23.05
Milwaukee Brewers,2021,"$87,569,366.00 ",0.586,TRUE,TRUE,FALSE,FALSE,41.41,23.58,17.82
Milwaukee Brewers,2022,"$122,281,128.00 ",0.531,FALSE,FALSE,FALSE,FALSE,39.33,15.13,24.2
Milwaukee Brewers,2023,"$108,644,960.00 ",0.568,TRUE,TRUE,FALSE,FALSE,34.49,15.57,18.92
Milwaukee Brewers,2024,"$94,484,960.00 ",0.577,TRUE,TRUE,FALSE,FALSE,40.44,12.78,27.66
Milwaukee Brewers,2025,"$94,000,000.00 ",0.599,TRUE,TRUE,FALSE,FALSE,46.83,18.6,28.24
Minnesota Twins,2015,"$108,945,000.00 ",0.531,FALSE,FALSE,FALSE,FALSE,28.1,15.99,12.11
Minnesota Twins,2016,"$108,262,000.00 ",0.352,FALSE,FALSE,FALSE,FALSE,25.68,10.72,14.96
Minnesota Twins,2017,"$108,077,500.00 ",0.525,FALSE,TRUE,FALSE,FALSE,37.12,8.88,28.23
Minnesota Twins,2018,"$131,910,000.00 ",0.494,FALSE,FALSE,FALSE,FALSE,27.82,11.4,16.42
Minnesota Twins,2019,"$135,000,000.00 ",0.623,TRUE,TRUE,FALSE,FALSE,55.59,23.66,31.93
Minnesota Twins,2021,"$121,003,834.00 ",0.457,FALSE,FALSE,FALSE,FALSE,28.85,6.84,22.01
Minnesota Twins,2022,"$110,859,524.00 ",0.512,FALSE,FALSE,FALSE,FALSE,32.1,11.46,20.64
Minnesota Twins,2023,"$141,271,190.00 ",0.537,FALSE,TRUE,FALSE,FALSE,43.67,20.64,23.03
Minnesota Twins,2024,"$118,886,590.00 ",0.543,FALSE,FALSE,FALSE,FALSE,40.8,18.65,22.15
Minnesota Twins,2025,"$137,000,000.00 ",0.525,FALSE,FALSE,FALSE,FALSE,35,15.73,19.26
New York Yankees,2015,"$219,282,196.00 ",0.562,FALSE,TRUE,FALSE,FALSE,39.09,18.42,20.67
New York Yankees,2016,"$213,472,857.00 ",0.537,FALSE,FALSE,FALSE,FALSE,33.59,18.66,14.93
New York Yankees,2017,"$201,539,699.00 ",0.562,FALSE,TRUE,FALSE,FALSE,52.5,23.37,29.13
New York Yankees,2018,"$168,540,000.00 ",0.617,FALSE,TRUE,FALSE,FALSE,53.19,24.46,28.73
New York Yankees,2019,"$218,107,857.00 ",0.636,FALSE,TRUE,FALSE,FALSE,48.51,17.91,30.6
New York Yankees,2021,"$191,205,631.00 ",0.568,FALSE,TRUE,FALSE,FALSE,39.93,21.64,18.29
New York Yankees,2022,"$240,290,714.00 ",0.623,FALSE,TRUE,FALSE,FALSE,55.1,20.81,34.3
New York Yankees,2023,"$268,954,047.00 ",0.512,FALSE,FALSE,FALSE,FALSE,28.26,14.01,14.25
New York Yankees,2024,"$293,666,666.00 ",0.543,TRUE,TRUE,TRUE,FALSE,48.63,14.12,34.5
New York Yankees,2025,"$272,000,000.00 ",0.58,FALSE,TRUE,FALSE,FALSE,50.55,16.3,34.25
New York Mets,2015,"$101,409,244.00 ",0.556,TRUE,TRUE,TRUE,FALSE,43.6,19.01,24.59
New York Mets,2016,"$99,626,453.00 ",0.537,FALSE,TRUE,FALSE,FALSE,42.1,21.5,20.59
New York Mets,2017,"$155,187,460.00 ",0.457,FALSE,FALSE,FALSE,FALSE,29.15,8.66,20.49
New York Mets,2018,"$154,610,000.00 ",0.457,FALSE,FALSE,FALSE,FALSE,34.07,17.86,16.21
New York Mets,2019,"$170,000,000.00 ",0.531,FALSE,FALSE,FALSE,FALSE,39.42,19.82,23.6
New York Mets,2021,"$170,221,000.00 ",0.488,FALSE,FALSE,FALSE,FALSE,36.85,17.15,19.7
New York Mets,2022,"$253,119,999.00 ",0.586,FALSE,TRUE,FALSE,FALSE,52.58,21.51,31.07
